actual_x,actual_y,ScatterFusion_x,ScatterFusion_y,AWGFormer_x,AWGFormer_y,EnergyPatchTST_x,EnergyPatchTST_y,SWIFT_x,SWIFT_y,LWSpace_x,LWSpace_y,TimeFlowDiffuser_x,TimeFlowDiffuser_y,ARIMA_x,ARIMA_y
5.3,-1.093238177,5.3,-1.093238177,5.3,-1.093238177,5.3,-1.093238177,5.3,-1.093238177,5.3,-1.093238177,5.3,-1.093238177,5.3,-1.093238177
5.3,-1.167828718,5.3,-1.167828718,5.3,-1.167828718,5.3,-1.167828718,5.3,-1.167828718,5.3,-1.167828718,5.3,-1.167828718,5.3,-1.167828718
5.4,-1.093238177,5.4,-1.093238177,5.4,-1.093238177,5.4,-1.093238177,5.4,-1.093238177,5.4,-1.093238177,5.4,-1.093238177,5.4,-1.093238177
5.4,-1.167828718,5.4,-1.167828718,5.4,-1.167828718,5.4,-1.167828718,5.4,-1.167828718,5.4,-1.167828718,5.4,-1.167828718,5.4,-1.167828718
5.5,-1.103597974,5.5,-1.103597974,5.5,-1.103597974,5.5,-1.103597974,5.5,-1.103597974,5.5,-1.103597974,5.5,-1.103597974,5.5,-1.103597974
5.5,-1.176116556,5.5,-1.176116556,5.5,-1.176116556,5.5,-1.176116556,5.5,-1.176116556,5.5,-1.176116556,5.5,-1.176116556,5.5,-1.176116556
5.6,-1.103597974,5.6,-1.103597974,5.6,-1.103597974,5.6,-1.103597974,5.6,-1.103597974,5.6,-1.103597974,5.6,-1.103597974,5.6,-1.103597974
5.6,-1.176116556,5.6,-1.176116556,5.6,-1.176116556,5.6,-1.176116556,5.6,-1.176116556,5.6,-1.176116556,5.6,-1.176116556,5.6,-1.176116556
5.7,-1.103597974,5.7,-1.103597974,5.7,-1.103597974,5.7,-1.103597974,5.7,-1.103597974,5.7,-1.103597974,5.7,-1.103597974,5.7,-1.103597974
5.7,-1.176116556,5.7,-1.176116556,5.7,-1.176116556,5.7,-1.176116556,5.7,-1.176116556,5.7,-1.176116556,5.7,-1.176116556,5.7,-1.176116556
5.8,-1.154360981,5.8,-1.154360981,5.8,-1.154360981,5.8,-1.154360981,5.8,-1.154360981,5.8,-1.154360981,5.8,-1.154360981,5.8,-1.154360981
5.9,-1.154360981,5.9,-1.154360981,5.9,-1.154360981,5.9,-1.154360981,5.9,-1.154360981,5.9,-1.154360981,5.9,-1.154360981,5.9,-1.154360981
6.0,-1.165756759,6.0,-1.165756759,6.0,-1.165756759,6.0,-1.165756759,6.0,-1.165756759,6.0,-1.165756759,6.0,-1.165756759,6.0,-1.165756759
6.1,-1.165756759,6.1,-1.165756759,6.1,-1.165756759,6.1,-1.165756759,6.1,-1.165756759,6.1,-1.165756759,6.1,-1.165756759,6.1,-1.165756759
6.2,-1.165756759,6.2,-1.165756759,6.2,-1.165756759,6.2,-1.165756759,6.2,-1.165756759,6.2,-1.165756759,6.2,-1.165756759,6.2,-1.165756759
6.3,-1.179224495,6.3,-1.179224495,6.3,-1.179224495,6.3,-1.179224495,6.3,-1.179224495,6.3,-1.179224495,6.3,-1.179224495,6.3,-1.179224495
6.4,-1.179224495,6.4,-1.179224495,6.4,-1.179224495,6.4,-1.179224495,6.4,-1.179224495,6.4,-1.179224495,6.4,-1.179224495,6.4,-1.179224495
6.5,-1.179224495,6.5,-1.179224495,6.5,-1.179224495,6.5,-1.179224495,6.5,-1.179224495,6.5,-1.179224495,6.5,-1.179224495,6.5,-1.179224495
6.6,-1.186476353,6.6,-1.186476353,6.6,-1.186476353,6.6,-1.186476353,6.6,-1.186476353,6.6,-1.186476353,6.6,-1.186476353,6.6,-1.186476353
6.7,-1.186476353,6.7,-1.186476353,6.7,-1.186476353,6.7,-1.186476353,6.7,-1.186476353,6.7,-1.186476353,6.7,-1.186476353,6.7,-1.186476353
6.8,-1.186476353,6.8,-1.186476353,6.8,-1.186476353,6.8,-1.186476353,6.8,-1.186476353,6.8,-1.186476353,6.8,-1.186476353,6.8,-1.186476353
6.9,-1.193728212,6.9,-1.193728212,6.9,-1.193728212,6.9,-1.193728212,6.9,-1.193728212,6.9,-1.193728212,6.9,-1.193728212,6.9,-1.193728212
7.0,-1.193728212,7.0,-1.193728212,7.0,-1.193728212,7.0,-1.193728212,7.0,-1.193728212,7.0,-1.193728212,7.0,-1.193728212,7.0,-1.193728212
7.1,-1.193728212,7.1,-1.193728212,7.1,-1.193728212,7.1,-1.193728212,7.1,-1.193728212,7.1,-1.193728212,7.1,-1.193728212,7.1,-1.193728212
7.2,-1.20098007,7.2,-1.20098007,7.2,-1.20098007,7.2,-1.20098007,7.2,-1.20098007,7.2,-1.20098007,7.2,-1.20098007,7.2,-1.20098007
7.3,-1.20098007,7.3,-1.20098007,7.3,-1.20098007,7.3,-1.20098007,7.3,-1.20098007,7.3,-1.20098007,7.3,-1.20098007,7.3,-1.20098007
7.4,-1.20098007,7.4,-1.20098007,7.4,-1.20098007,7.4,-1.20098007,7.4,-1.20098007,7.4,-1.20098007,7.4,-1.20098007,7.4,-1.20098007
7.5,-1.211339867,7.5,-1.211339867,7.5,-1.211339867,7.5,-1.211339867,7.5,-1.211339867,7.5,-1.211339867,7.5,-1.211339867,7.5,-1.211339867
7.6,-1.211339867,7.6,-1.211339867,7.6,-1.211339867,7.6,-1.211339867,7.6,-1.211339867,7.6,-1.211339867,7.6,-1.211339867,7.6,-1.211339867
7.7,-1.211339867,7.7,-1.211339867,7.7,-1.211339867,7.7,-1.211339867,7.7,-1.211339867,7.7,-1.211339867,7.7,-1.211339867,7.7,-1.211339867
7.8,-1.224807604,7.8,-1.224807604,7.8,-1.224807604,7.8,-1.224807604,7.8,-1.224807604,7.8,-1.224807604,7.8,-1.224807604,7.8,-1.224807604
7.9,-1.224807604,7.9,-1.224807604,7.9,-1.224807604,7.9,-1.224807604,7.9,-1.224807604,7.9,-1.224807604,7.9,-1.224807604,7.9,-1.224807604
8.0,-1.224807604,8.0,-1.224807604,8.0,-1.224807604,8.0,-1.224807604,8.0,-1.224807604,8.0,-1.224807604,8.0,-1.224807604,8.0,-1.224807604
8.1,-1.23827534,8.1,-1.23827534,8.1,-1.23827534,8.1,-1.23827534,8.1,-1.23827534,8.1,-1.23827534,8.1,-1.23827534,8.1,-1.23827534
8.2,-1.23827534,8.2,-1.23827534,8.2,-1.23827534,8.2,-1.23827534,8.2,-1.23827534,8.2,-1.23827534,8.2,-1.23827534,8.2,-1.23827534
8.3,-1.23827534,8.3,-1.23827534,8.3,-1.23827534,8.3,-1.23827534,8.3,-1.23827534,8.3,-1.23827534,8.3,-1.23827534,8.3,-1.23827534
8.4,-1.248635138,8.4,-1.2606176800445377,8.4,-1.2693512504344535,8.4,-1.2649844652394955,8.4,-1.2671678578369745,8.4,-1.2715346430319325,8.4,-1.2715346430319325,8.4,-1.2693512504344535
8.5,-1.248635138,8.5,-1.2630179607982104,8.5,-1.2693512504344535,8.5,-1.2649844652394955,8.5,-1.2671678578369745,8.5,-1.2715346430319325,8.5,-1.2715346430319325,8.5,-1.2693512504344535
8.6,-1.248635138,8.6,-1.2641425660525492,8.6,-1.2693512504344535,8.6,-1.2649844652394955,8.6,-1.2671678578369745,8.6,-1.2715346430319325,8.6,-1.2715346430319325,8.6,-1.2693512504344535
8.7,-1.255886996,8.7,-1.2650551417563436,8.7,-1.2693512504344535,8.7,-1.2649844652394955,8.7,-1.2671678578369745,8.7,-1.2715346430319325,8.7,-1.2715346430319325,8.7,-1.2693512504344535
8.8,-1.255886996,8.8,-1.2653362930699283,8.8,-1.2693512504344535,8.8,-1.2649844652394955,8.8,-1.2671678578369745,8.8,-1.2715346430319325,8.8,-1.2715346430319325,8.8,-1.2693512504344535
8.9,-1.255886996,8.9,-1.265617444383513,8.9,-1.2693512504344535,8.9,-1.2649844652394955,8.9,-1.2671678578369745,8.9,-1.2715346430319325,8.9,-1.2715346430319325,8.9,-1.2693512504344535
9.0,-1.263138854,9.0,-1.2658985956970978,9.0,-1.270687579092187,9.0,-1.2649844652394955,9.0,-1.2671678578369745,9.0,-1.2715346430319325,9.0,-1.2715346430319325,9.0,-1.2693512504344535
9.1,-1.263138854,9.1,-1.2661797470106824,9.1,-1.2739543588903868,9.1,-1.2649844652394955,9.1,-1.2671678578369745,9.1,-1.2715346430319325,9.1,-1.2715346430319325,9.1,-1.2693512504344535
9.2,-1.263138854,9.2,-1.2664608983242671,9.2,-1.2785247243116016,9.2,-1.2649844652394955,9.2,-1.2706709608961497,9.2,-1.2715346430319325,9.2,-1.2715346430319325,9.2,-1.2693512504344535
9.3,-1.263138854,9.3,-1.2667420496378519,9.3,-1.2796136509110014,9.3,-1.2649844652394955,9.3,-1.2739377406943495,9.3,-1.2715346430319325,9.3,-1.2715346430319325,9.3,-1.2693512504344535
9.4,-1.263138854,9.4,-1.2670232009514366,9.4,-1.2916195404977964,9.4,-1.2649844652394955,9.4,-1.2767817285587109,9.4,-1.4990186929488718,9.4,-1.2715346430319325,9.4,-1.2693512504344535
9.5,-1.263138854,9.5,-1.2677138355491617,9.5,-1.2927084670971964,9.5,-1.2649844652394955,9.5,-1.2735149487605109,9.5,-1.5109968855422713,9.5,-1.277292641117574,9.5,-1.2693512504344535
9.6,-1.261066895,9.6,-1.2688384408035005,9.6,-1.2937973936965963,9.6,-1.2649844652394955,9.6,-1.270676993652185,9.6,-1.5204021299964279,9.6,-1.2809065750790298,9.6,-1.2693512504344535
9.7,-1.261066895,9.7,-1.2693512504344535,9.7,-1.2948863202959964,9.7,-1.2649844652394955,9.7,-1.268499140453385,9.7,-1.5258467629934276,9.7,-1.2845205090404856,9.7,-1.2693512504344535
9.8,-1.261066895,9.8,-1.2693512504344535,9.8,-1.3134423876752281,9.8,-1.2677322382252343,9.8,-1.2669562151913771,9.8,-1.5312913959904273,9.8,-1.2881344430019417,9.8,-1.2693512504344535
9.9,-1.266246793,9.9,-1.2693512504344535,9.9,-1.3145313142746282,9.9,-1.2691841403577675,9.9,-1.266411751891677,9.9,-1.536736028987427,9.9,-1.2917483769633973,9.9,-1.2693512504344535
10.0,-1.266246793,10.0,-1.2693512504344535,10.0,-1.3269549497539386,10.0,-1.2706360424903007,10.0,-1.265867288591977,10.0,-1.544155181635648,10.0,-1.295362310924853,10.0,-1.2693512504344535
10.1,-1.266246793,10.1,-1.2693512504344535,10.1,-1.3291328029527385,10.1,-1.272087944622834,10.1,-1.2653228252922772,10.1,-1.5490553513329477,10.1,-1.298976244886309,10.1,-1.273589213001197
10.2,-1.272462672,10.2,-1.2693512504344535,10.2,-1.357923573815123,10.2,-1.2735398467553674,10.2,-1.2628010726420165,10.2,-1.5539555210302474,10.2,-1.3025901788477647,10.2,-1.2757575733780704
10.3,-1.272462672,10.3,-1.2693512504344535,10.3,-1.3611903536133227,10.3,-1.2749917488879006,10.3,-1.2628010726420165,10.3,-1.558855690727547,10.3,-1.3062041128092206,10.3,-1.277925933754944
10.4,-1.272462672,10.4,-1.2693512504344535,10.4,-1.371413978299117,10.4,-1.2765792067188197,10.4,-1.2606176800445377,10.4,-1.5630103040837249,10.4,-1.3098180467706764,10.4,-1.2800942941318174
10.5,-1.28178649,10.5,-1.2693512504344535,10.5,-1.3757696846967167,10.5,-1.2783940843844863,10.5,-1.2606176800445377,10.5,-1.5659141083487913,10.5,-1.3134319807321322,10.5,-1.2822626545086908
10.6,-1.28178649,10.6,-1.2693512504344535,10.6,-1.3924234912862339,10.6,-1.2802089620501529,10.6,-1.26440558342793,10.6,-1.568817912613858,10.6,-1.317045914693588,10.6,-1.2844310148855644
10.7,-1.28178649,10.7,-1.2693512504344535,10.7,-1.3946013444850338,10.7,-1.2820238397158192,10.7,-1.2687612898255298,10.7,-1.5717217168789244,10.7,-1.3203324525474387,10.7,-1.2859445830472274
10.8,-1.293182267,10.8,-1.2693512504344535,10.8,-1.3967791976838337,10.8,-1.283838717381486,10.8,-1.2731169962231297,10.8,-1.574625521143991,10.8,-1.3235849931127488,10.8,-1.2873901566318098
10.9,-1.293182267,10.9,-1.2693512504344535,10.9,-1.3989570508826334,10.9,-1.2856535950471526,10.9,-1.2774727026207293,10.9,-1.5775293254090577,10.9,-1.3268375336780591,10.9,-1.2888357302163922
11.0,-1.293182267,11.0,-1.2693512504344535,11.0,-1.4053066648268313,11.0,-1.2872084401134056,11.0,-1.281633384568769,11.0,-1.5815382682216315,11.0,-1.3300900742433692,11.0,-1.2902813038009744
11.1,-1.306650003,11.1,-1.2693512504344535,11.1,-1.4069400547259312,11.1,-1.2882973667128055,11.1,-1.285444627666669,11.1,-1.587527364518331,11.1,-1.3333426148086795,11.1,-1.2917268773855568
11.2,-1.306650003,11.2,-1.2693512504344535,11.2,-1.408573444625031,11.2,-1.2893862933122056,11.2,-1.2892558707645687,11.2,-1.5935164608150307,11.2,-1.3365951553739897,11.2,-1.2931724509701392
11.3,-1.32115372,11.3,-1.2693512504344535,11.3,-1.410206834524131,11.3,-1.2904752199116054,11.3,-1.2930671138624685,11.3,-1.5995055571117305,11.3,-1.3398476959393,11.3,-1.2943056606677217
11.4,-1.32115372,11.4,-1.2693247332445086,11.4,-1.416017524567308,11.4,-1.2917536315618865,11.4,-1.2965625485422334,11.4,-1.606063108561073,11.4,-1.34310023650461,11.4,-1.2953898408561584
11.5,-1.32115372,11.5,-1.2689498648263957,11.5,-1.4171064511667077,11.5,-1.2933870214609864,11.5,-1.2994663528073,11.5,-1.6136855947568725,11.5,-1.346583291930019,11.5,-1.2964740210445953
11.6,-1.302506084,11.6,-1.2685749964082829,11.6,-1.417821947063025,11.6,-1.2950204113600863,11.6,-1.3023701570723665,11.6,-1.6205612195465064,11.6,-1.3501068775424383,11.6,-1.297558201233032
11.6,-1.371916727,11.6,-1.2685749964082829,11.6,-1.417821947063025,11.6,-1.2950204113600863,11.6,-1.3023701570723665,11.6,-1.6205612195465064,11.6,-1.3501068775424383,11.6,-1.297558201233032
11.7,-1.302506084,11.7,-1.2682001279901698,11.7,-1.417821947063025,11.7,-1.2966538012591862,11.7,-1.305273961337433,11.7,-1.6260058525435062,11.7,-1.3536304631548577,11.7,-1.2986423814214687
11.7,-1.371916727,11.7,-1.2682001279901698,11.7,-1.417821947063025,11.7,-1.2966538012591862,11.7,-1.305273961337433,11.7,-1.6260058525435062,11.7,-1.3536304631548577,11.7,-1.2986423814214687
11.8,-1.302506084,11.8,-1.267825259572057,11.8,-1.417821947063025,11.8,-1.298287191158286,11.8,-1.3081777656024995,11.8,-1.6321862681493136,11.8,-1.357154048767277,11.8,-1.2997265616099054
11.8,-1.371916727,11.8,-1.267825259572057,11.8,-1.417821947063025,11.8,-1.298287191158286,11.8,-1.3081777656024995,11.8,-1.6321862681493136,11.8,-1.357154048767277,11.8,-1.2997265616099054
11.9,-1.317009801,11.9,-1.2674503911539439,11.9,-1.417821947063025,11.9,-1.299920581057386,11.9,-1.311081569867566,11.9,-1.639808754345113,11.9,-1.3606776343796965,11.9,-1.300810741798342
11.9,-1.389528383,11.9,-1.2674503911539439,11.9,-1.417821947063025,11.9,-1.299920581057386,11.9,-1.311081569867566,11.9,-1.639808754345113,11.9,-1.3606776343796965,11.9,-1.300810741798342
12.0,-1.317009801,12.0,-1.267098606511117,12.0,-1.417821947063025,12.0,-1.3015539709564858,12.0,-1.316280269535555,12.0,-1.6457402649808641,12.0,-1.3642012199921159,12.0,-1.3018949219867788
12.0,-1.389528383,12.0,-1.267098606511117,12.0,-1.417821947063025,12.0,-1.3015539709564858,12.0,-1.316280269535555,12.0,-1.6457402649808641,12.0,-1.3642012199921159,12.0,-1.3018949219867788
12.1,-1.317009801,12.1,-1.2668174551975322,12.1,-1.417821947063025,12.1,-1.3031873608555857,12.1,-1.3260806089301547,12.1,-1.6482810937127974,12.1,-1.3677248056045352,12.1,-1.3029791021752155
12.1,-1.389528383,12.1,-1.2668174551975322,12.1,-1.417821947063025,12.1,-1.3031873608555857,12.1,-1.3260806089301547,12.1,-1.6482810937127974,12.1,-1.3677248056045352,12.1,-1.3029791021752155
12.2,-1.329441558,12.2,-1.2665363038839474,12.2,-1.417821947063025,12.2,-1.304642344501163,12.2,-1.3336211357801324,12.2,-1.6508219224447307,12.2,-1.3712483912169546,12.2,-1.3040632823636524
12.2,-1.408176018,12.2,-1.2665363038839474,12.2,-1.417821947063025,12.2,-1.304642344501163,12.2,-1.3336211357801324,12.2,-1.6508219224447307,12.2,-1.3712483912169546,12.2,-1.3040632823636524
12.3,-1.329441558,12.3,-1.2662551525703627,12.3,-1.417821947063025,12.3,-1.3057312711005629,12.3,-1.3365249400451988,12.3,-1.653362751176664,12.3,-1.3767113205848105,12.3,-1.3051474625520891
12.3,-1.408176018,12.3,-1.2662551525703627,12.3,-1.417821947063025,12.3,-1.3057312711005629,12.3,-1.3365249400451988,12.3,-1.653362751176664,12.3,-1.3767113205848105,12.3,-1.3051474625520891
12.4,-1.329441558,12.4,-1.265974001256778,12.4,-1.417821947063025,12.4,-1.306820197699963,12.4,-1.3394287443102655,12.4,-1.6559035799085973,12.4,-1.3826743116212126,12.4,-1.3062316427405258
12.4,-1.408176018,12.4,-1.265974001256778,12.4,-1.417821947063025,12.4,-1.306820197699963,12.4,-1.3394287443102655,12.4,-1.6559035799085973,12.4,-1.3826743116212126,12.4,-1.3062316427405258
